bsim4 (A),OP("/NM0" "gmoverid") vs OP("/NM0" "id") (1/V)
572.7E-12,29.77
508.6E-12,29.77
450.4E-12,29.77
397.8E-12,29.77
350.3E-12,29.77
307.6E-12,29.77
269.4E-12,29.77
235.1E-12,29.77
204.6E-12,29.77
177.4E-12,29.77
153.4E-12,29.77
132.1E-12,29.77
113.4E-12,29.77
96.99E-12,29.77
82.65E-12,29.77
70.17E-12,29.77
59.34E-12,29.77
50.00E-12,29.77
41.96E-12,29.77
35.08E-12,29.77
29.22E-12,29.77
24.26E-12,29.77
20.06E-12,29.77
16.55E-12,29.77
13.61E-12,29.77
11.17E-12,29.77
9.151E-12,29.77
7.495E-12,29.77
6.142E-12,29.77
5.042E-12,29.77
4.153E-12,29.77
3.437E-12,29.77
2.864E-12,29.77
2.407E-12,29.77
2.042E-12,29.77
1.753E-12,29.77
1.522E-12,29.77
1.338E-12,29.77
1.191E-12,29.77
1.073E-12,29.77
977.4E-15,29.77
901.1E-15,29.77
841.9E-15,29.77
800.5E-15,29.77
781.7E-15,29.77
795.8E-15,29.76
864.1E-15,29.76
1.026E-12,29.75
1.354E-12,29.75
1.980E-12,29.74
3.144E-12,29.73
5.281E-12,29.71
9.174E-12,29.69
16.24E-12,29.66
29.04E-12,29.62
52.16E-12,29.56
93.83E-12,29.48
168.7E-12,29.37
302.9E-12,29.20
541.6E-12,28.95
963.4E-12,28.65
1.702E-9,28.25
2.980E-9,27.75
5.160E-9,27.13
8.813E-9,26.37
14.80E-9,25.47
24.38E-9,24.43
39.30E-9,23.28
61.85E-9,22.07
95.00E-9,20.86
142.5E-9,19.70
209.0E-9,18.65
300.6E-9,17.73
425.1E-9,16.94
592.4E-9,16.27
815.4E-9,15.69
1.110E-6,15.16
1.495E-6,14.63
1.991E-6,14.07
2.622E-6,13.45
3.408E-6,12.78
4.368E-6,12.06
5.515E-6,11.29
6.856E-6,10.51
8.391E-6,9.734
10.11E-6,8.979
12.01E-6,8.262
14.07E-6,7.594
16.26E-6,6.978
18.59E-6,6.417
21.01E-6,5.909
23.53E-6,5.452
26.12E-6,5.041
28.78E-6,4.673
31.48E-6,4.342
34.22E-6,4.046
36.99E-6,3.780
39.79E-6,3.540
42.60E-6,3.323
45.43E-6,3.127
48.26E-6,2.949
